weapon,asset_path,ammo,caliber,role,damage_model,category,compact_hint,current_weapon_range,proposed_weapon_range,engagement_edge,min_multiplier_at_edge,notes
Weapon_BenelliM4,Assets/GameData/Shooting/Standalone/Weapon_BenelliM4.asset,Ammo_12Gauge,TwelveGauge,Shotgun,ShotgunPelletCurve,ShotgunCurve,,40,40,40,0.35,Pellet curve; linear hitscan falloff is bypassed
Weapon_AK74U,Assets/GameData/Shooting/AK/Weapon_AK74U.asset,Ammo_545x39mm,Five45By39,CarbineCQB,LinearHitscan,RegularHitscan,55,275,100,150,0.500,Short 5.45; full 100 working 150 limit 200
Weapon_MK18,Assets/GameData/Shooting/M4/Weapon_MK18.asset,Ammo_556x45mmNATO,Five56By45,CarbineCQB,LinearHitscan,RegularHitscan,60,300,105,150,0.571,Short 5.56 CQB
Weapon_AK74UMOD1,Assets/GameData/Shooting/AK/Weapon_AK74UMOD1.asset,Ammo_545x39mm,Five45By39,CarbineCQB,LinearHitscan,RegularHitscan,65,325,110,150,0.636,Controlled CQB 5.45
Weapon_AK47S,Assets/GameData/Shooting/AK/Weapon_AK47S.asset,Ammo_762x39mm,Seven62By39,CarbineCQB,LinearHitscan,RegularHitscan,75,375,115,150,0.696,Short 7.62x39
Weapon_M4_ModA_1,Assets/GameData/Shooting/M4/Weapon_M4_ModA_1.asset,Ammo_556x45mmNATO,Five56By45,Assault,LinearHitscan,RegularHitscan,95,475,140,200,0.571,User example: full ~140 falloff through 200-250
Weapon_AK47,Assets/GameData/Shooting/AK/Weapon_AK47.asset,Ammo_762x39mm,Seven62By39,Assault,LinearHitscan,RegularHitscan,95,475,140,200,0.571,Default 7.62 assault
Weapon_AK47_1,Assets/GameData/Shooting/AK/Weapon_AK47_1.asset,Ammo_762x39mm,Seven62By39,Assault,LinearHitscan,RegularHitscan,105,525,145,200,0.621,Wood-handguard 7.62
Weapon_AK74,Assets/GameData/Shooting/AK/Weapon_AK74.asset,Ammo_545x39mm,Five45By39,Assault,LinearHitscan,RegularHitscan,105,525,145,200,0.621,Default 5.45 assault
Weapon_M4_ModA_2,Assets/GameData/Shooting/M4/Weapon_M4_ModA_2.asset,Ammo_556x45mmNATO,Five56By45,Assault,LinearHitscan,RegularHitscan,105,525,150,200,0.667,Longer M4
Weapon_AK47MOD1,Assets/GameData/Shooting/AK/Weapon_AK47MOD1.asset,Ammo_762x39mm,Seven62By39,Assault,LinearHitscan,RegularHitscan,110,550,150,200,0.667,Mod1 7.62
Weapon_AK74MOD1,Assets/GameData/Shooting/AK/Weapon_AK74MOD1.asset,Ammo_545x39mm,Five45By39,Assault,LinearHitscan,RegularHitscan,115,575,155,200,0.710,Mod1 5.45
Weapon_M16A_ModA_1,Assets/GameData/Shooting/M4/Weapon_M16A_ModA_1.asset,Ammo_556x45mmNATO,Five56By45,Assault,LinearHitscan,RegularHitscan,125,625,160,200,0.750,Longer 5.56 rifle
Weapon_RPK47,Assets/GameData/Shooting/AK/Weapon_RPK47.asset,Ammo_762x39mm,Seven62By39,LMG,LinearHitscan,RegularHitscan,125,625,150,200,0.667,Support 7.62; working 200 limit 250
Weapon_RPK47MOD1,Assets/GameData/Shooting/AK/Weapon_RPK47MOD1.asset,Ammo_762x39mm,Seven62By39,LMG,LinearHitscan,RegularHitscan,135,675,155,200,0.710,Support 7.62 mod
Weapon_RPK74,Assets/GameData/Shooting/AK/Weapon_RPK74.asset,Ammo_545x39mm,Five45By39,LMG,LinearHitscan,RegularHitscan,135,675,155,200,0.710,Support 5.45
Weapon_RPK74MOD1,Assets/GameData/Shooting/AK/Weapon_RPK74MOD1.asset,Ammo_545x39mm,Five45By39,LMG,LinearHitscan,RegularHitscan,145,725,160,200,0.750,Longest 5.45 support
Weapon_M249,Assets/GameData/Shooting/Standalone/Weapon_M249.asset,Ammo_556x45mmNATO,Five56By45,LMG,LinearHitscan,RegularHitscan,,140,150,200,0.667,Already near envelope; keep LMG band
Weapon_PKM,Assets/GameData/Shooting/Standalone/Weapon_PKM.asset,Ammo_762x54mmR,Seven62By54R,LMG,LinearHitscan,RegularHitscan,,150,160,200,0.750,Already near envelope
